1,供热采暖,非住宅用户供热采暖设施的维护、管理以及更新改造，由供热单位与用户在合同中约定。
1,再生资源回收,市商务部门应当会同市发展改革、生态环境等部门采取措施，鼓励和扶持回收易污染环境废旧商品。
1,戏曲,2.加强戏曲非物质文化遗产保护工作。鼓励符合条件的地方戏曲申报国家级、市级非物质文化遗产名录，加强对戏曲非物质文化遗产项目分类保护，实施戏曲“非物质文化遗产项目代表性传承人”计划，支持非物质文化遗产传承人收徒传艺、著书立说。运用现代科技手段对戏曲文献资料和散落在民间的戏曲珍贵史料进行整理和保护。
1,劳动者工伤保险,第六十七条到参加工伤保险的企业实习的大中专院校、技工学校、职业高中学生发生伤亡事故的，可参照本规定的有关待遇标准，由社会保险经办机构发给一次性待遇。
1,供热采暖,第三十一条供热单位违反本办法第十三条第(一)项规定，未实施供热设施安全巡检制度的，由城市管理综合行政执法机关予以警告，警告两次的，处2万元罚款。
1,长城,第十五条禁止从事下列危及长城安全的活动：（一）在长城主体上设置摊点、通讯设施；（二）组织游览未批准为参观游览场所的长城；（三）攀登未批准为参观游览场所的长城；（四）刻划、涂污、损坏长城；（五）非法移动、拆除、污损、破坏长城保护标志；（六）在长城上架梯、挖坑、竖杆、堆积垃圾；（七）其他危及长城安全的行为。
1,建设征地补偿安置,第一章总则
1,建设征地补偿安置,《办法(草案)》规定，征地单位应当将征地补偿费专户存储，接受土地行政主管部门对资金的监管，依法支付。按照现行土地管理法规定，应当于3个月内全额支付完毕。在征地补偿费的分配上，《办法(草案)》明确规定征地补偿款应当优先用于失地人员的安置，其余部分作为土地补偿费。
1,供热采暖,建筑物进行节能改造的，应当与热计量和供热系统节能改造同步实施。
1,建设征地补偿安置,超转人员安置办法依照市人民政府有关规定执行。
1,海绵城市,坚持规划引领、统筹推进。因地制宜确定海绵城市建设目标和具体指标，科学编制和严格实施相关规划，完善技术标准规范。统筹发挥自然生态功能和人工干预功能，实施源头减排、过程控制、系统治理，切实提高城市排水、防涝、防洪和防灾减灾能力。
1,地下文物,第六条本市依法划定地下文物埋藏区。
1,随地吐痰、随地丢弃废弃物,第四条违反前条规定的，对责任人进行批评教育，责令其擦净所污染的地面或者清除废弃物，并处50元罚款。
1,随地吐痰、随地丢弃废弃物,本规定中的公共场所包括街道、广场、公园、居住小区和旅游景区、景点以及商店、市场、饭店、医院、体育馆（场）、影剧院、博物馆、展览馆、车站、飞机场、码头等公共场所。
1,劳动者工伤保险,据以认定工伤的材料不全的，应书面通知企业限期补齐，需要调查取证的，应当及时进行，并在调查结束后7日内作出是否认定为工伤的决定。
1,建设征地补偿安置,第三十二条转非劳动力的档案由农村集体经济组织或者村民委员会负责建立。档案中应当有转非劳动力登记表及相关材料，自谋职业的还应当有经公证的自谋职业协议书。
1,再生资源回收,区人民政府应当加强对本行政区域内再生资源回收工作的领导，建立和完善推进再生资源回收的责任制度和考核制度，督促、协调区商务等有关部门履行促进再生资源回收和加强再生资源回收管理的职责。
1,再生资源回收,市商务部门应当会同市发展改革、教育、生态环境、绿化市容、住房城乡建设管理、房屋管理等部门和消费者权益保护组织加强再生资源回收的宣传教育，支持社区、中小学校开展相关知识普及和社会实践活动。
1,地方粮食储备,承储合同应当载明储存地址、储存期限以及储备品种、数量、质量和轮换、应急保障等要求，明确权利义务、违约责任和合同解除情形等内容。
1,再生资源回收,违反本办法第十二条第二款、第三款的规定，再生资源回收经营者未办理备案或者变更备案手续的，由公安部门责令限期整改；逾期不改正的，处以2000元以上5000元以下的罚款。
1,展会知识产权,第三条展会知识产权保护工作坚持政府指导、主办方负责、参展方自律、社会公众监督的原则。
1,建设征地补偿安置,转非劳动力的就业应当坚持征地单位优先招用、劳动者自主择业、政府促进就业的方针。征地单位有适合转非劳动力工作的岗位的，应当优先录用转非劳动力。《办法(草案)》在规定转非劳动力享有与城镇职工同等的就业促进和优惠政策的同时，进一步规定劳动部门还要通过多种形式有针对性地开展对转非劳动力的就业培训，提供专门的就业指导和就业服务，增强转非劳动力的就业能力。《办法(草案)》还对单位招用转非劳动力的权利义务作了明确规定，鼓励单位招用转非劳动力。
1,戏曲,在“十三五”期间，健全戏曲艺术保护传承工作体系、戏曲人才培养体系、戏曲创新发展政策支持体系，进一步完善戏曲艺术表演团体的体制机制，加强对戏曲创作的规划引导，提升戏曲艺术服务群众的综合能力和水平，培育有利于戏曲活起来、传下去、出精品、出名家的良好环境，形成全社会关心支持戏曲发展的良好局面。
1,流浪乞讨人员,第二十一条本办法自2016年9月1日起施行。2004年4月1日安徽省人民政府发布的《安徽省城市生活无着的流浪乞讨人员救助管理办法》同时废止。
1,地下文物,文物行政管理部门应当会同规划、建设等行政管理部门，开展对建设、施工、监理等单位及其相关人员的地下文物保护教育和宣传工作。
